Figure 1.1.1. Chinese Equity Market,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1. A-Share Price/Earnings Ratios,,,,,,,,,2. China: Equity Market Valuations Relative to Peers,,,,,3. China: Outstanding Amount of Margin Lending for Equities,,,,,4. Liquidity of Securities Firms,,,,,,,,,,5. Securities Firms’ Leverage,,,,,,,,,,,,,,,6. Trading Status of All A-Shares,,,,
   (Distribution; percent),,,,,,,,,    (Percent premium over peers),,,,,,,,,,    (Cash as a percentage of short-term debt),,,,,,,,,,    (Total common equity as a percentage of assets),,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,<0,0-10,42328,20-50,50-100,100-200,>200,,,,Emerging markets,Advanced economies,,,"Balance of margin purchase and short sale (billion renminbi, left scale)","Margin purchases (percent of total free-float market capitalization, right scale)",,,2013:Q1,2013:Q2,2013:Q3,2013:Q4,2014:Q1,2014:Q2,2014:Q3,2014:Q4,2015:Q1,,,2012:Q1,2012:Q2,2012:Q3,2012:Q4,2013:Q1,2013:Q2,2013:Q3,2013:Q4,2014:Q1,2014:Q2,2014:Q3,2014:Q4,2015:Q1,,,Suspended,Limit-up,Limit-down,Other traded A-shares
1/1/2013,8.09,3.5,18.25,42.93,13.5,6.75,6.99,,Peak,PE,59.34,40.67,,1/5/2015,1037.93,6.99,,Quartile,221.2481627,230.3561003,203.061302,123.6297605,133.6852439,113.7737367,124.5085974,79.77449982,101.5471417,,Quartile,37.42742859,38.58640627,41.2706731,38.45798212,39.92749599,37.7785937,35.90811271,36.14195627,32.0564063,30.44778808,25.55649023,20.11579103,16.96567302,,1/5/2015,9.663703131,3.324313877,0.3092385,86.70274449
1/2/2013,8.09,3.5,18.25,42.93,13.5,6.75,6.99,,,PB,50.62,37.06,,1/6/2015,1045.99,6.99,,Median,410.8105879,391.2186429,264.6981022,254.7717484,173.7420566,191.0888571,151.7384333,101.0220339,129.3690413,,Median,39.68514765,42.57365146,45.83679647,45.06151483,44.54753838,42.73721332,42.09443204,39.62489798,37.20910254,34.30481356,29.44628341,23.47749169,19.57459024,,1/6/2015,9.702357944,2.280633939,0.038654813,87.9783533
1/3/2013,8.09,3.5,18.25,42.93,13.5,6.75,6.99,,,DY,56.03,44.37,,1/7/2015,1057.8,7.02,,Quartile,554.0921777,617.5822191,549.897124,313.3845799,285.6390463,248.6997885,244.2900265,119.3964007,173.7998247,,Quartile,46.36208984,49.63256223,51.4619443,49.69769645,48.83808861,47.54312315,46.07090765,42.23389674,40.75600881,39.26311531,35.24722436,28.25658512,25.79633162,,1/7/2015,9.509083881,1.352918438,0.077309625,89.06068806
1/4/2013,8.01,3.25,18.82,42.85,13.41,6.75,6.91,,,Avg.,55.33,40.7,,1/8/2015,1060.9,7.16,,,,,,,,,,,,,Peer,5.544224305,5.645051166,5.592439292,5.611570074,6.02473514,5.826454639,5.872040767,5.984057243,6.145652201,6.262608809,6.257002642,6.431805548,6.45097855,,1/8/2015,9.625048319,1.546192501,0.038654813,88.79010437
1/7/2013,8.01,3.25,18.54,42.8,13.5,6.83,7.07,,Current,PE,36.45,15.66,,1/9/2015,1067.96,7.23,,,,,,,,,,,,,,,,,,,,,,,,,,,,1/9/2015,9.663703131,0.618477,0,89.71781987
1/8/2013,8.01,3.09,18.09,43.17,13.58,6.87,7.2,,,PB,26.84,13.25,,1/12/2015,1079.02,7.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,1/12/2015,9.818322381,1.043679938,0.15461925,88.98337843
1/9/2013,7.93,3.17,18.21,43.01,13.5,7.07,7.11,,,DY,50.03,35,,1/13/2015,1085.06,7.39,,,,,,,,,,,,,,,,,,,,,,,,,,,,1/13/2015,9.934286819,1.352918438,0,88.71279474
1/10/2013,7.93,3.17,17.8,43.29,13.5,7.2,7.11,,,Avg.,37.77,21.3,,1/14/2015,1097.67,7.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,1/14/2015,9.972941631,0.734441438,0.077309625,89.21530731
1/11/2013,7.93,3.5,18.46,42.85,13.46,6.95,6.87,,2014:Q2,PE,-20.84,-40.43,,1/15/2015,1113.2,7.41,,,,,,,,,,,,,,,,,,,,,,,,,,,,1/15/2015,10.24352532,0.850405876,0.077309625,88.82875918
1/14/2013,7.89,3.09,17.48,43.09,13.98,7.4,7.07,,,PB,-25.65,-31.66,,1/16/2015,1118.4,7.35,,,,,,,,,,,,,,,,,,,,,,,,,,,,1/16/2015,9.895632006,1.700811751,0.038654813,88.36490143
1/15/2013,7.89,3.01,16.87,43.25,14.23,7.48,7.28,,,DY,2.8,13.12,,1/19/2015,1098.53,7.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,1/19/2015,10.28218013,0.889060688,5.218399691,83.61035949
1/16/2013,7.85,3.05,16.87,43.25,14.19,7.32,7.48,,,Avg.,-14.57,-19.65,,1/20/2015,1096.76,7.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,1/20/2015,10.32083494,3.51758794,0,86.16157712
1/17/2013,7.8,3.33,16.99,43.09,14.07,7.52,7.2,,,,,,,1/21/2015,1102.54,7.24,,,,,,,,,,,,,,,,,,,,,,,,,,,,1/21/2015,10.39412674,2.202472952,0,87.40340031
1/18/2013,7.8,3.13,16.54,43.41,14.15,7.56,7.4,,,,,,,1/22/2015,1112.91,7.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,1/22/2015,10.41666667,2.662037037,0.038580247,86.88271605
1/21/2013,7.8,3.09,16.06,43.9,14.07,7.64,7.44,,,,,,,1/23/2015,1118.84,7.29,,,,,,,,,,,,,,,,,,,,,,,,,,,,1/23/2015,10.43110085,1.42417244,0.153964588,87.99076212
1/22/2013,7.76,3.13,16.79,43.7,13.82,7.44,7.36,,,,,,,1/26/2015,1127.3,7.22,,,,,,,,,,,,,,,,,,,,,,,,,,,,1/26/2015,10.45751634,2.652825836,0.038446751,86.85121107
1/23/2013,7.76,3.17,16.67,43.5,13.98,7.52,7.4,,,,,,,1/27/2015,1131.44,7.28,,,,,,,,,,,,,,,,,,,,,,,,,,,,1/27/2015,10.36866359,2.496159754,0,87.13517665
1/24/2013,7.76,3.25,17.64,43.09,13.94,7.07,7.24,,,,,,,1/28/2015,1134.38,7.38,,,,,,,,,,,,,,,,,,,,,,,,,,,,1/28/2015,10.08822401,1.572688914,0,88.33908707
1/25/2013,7.76,3.29,17.8,42.97,13.86,7.15,7.15,,,,,,,1/29/2015,1136.59,7.47,,,,,,,,,,,,,,,,,,,,,,,,,,,,1/29/2015,9.965504025,1.801456497,0,88.23303948
1/28/2013,7.76,3.17,16.99,43.21,14.15,7.36,7.36,,,,,,,1/30/2015,1131.85,7.54,,,,,,,,,,,,,,,,,,,,,,,,,,,,1/30/2015,9.961685824,1.417624521,0.268199234,88.35249042
